1,Autumn Brilliance Serviceberry,AMELANCHIER X GRANDIFLORA,autumnserviceberry,Calycanthus floridu-Cornus florida-Kalmia latifolia-Rhododendron vaseyi-Viburnum dentatum-Coreopsis verticillata,filtered shade-full sun-partial shade,mid spring,rabbit,butterfly
2,Flowering Dogwood,Cornus Florida,floweringdogwood,Calycanthus floridus-Rhododendron periclymenoides-Kalmia latifolia-Leucothoe fontanesiana-Viburnum acerifolium-Geranium maculatum-Polystichum acrostichoides,filtered shade-full sun-partial shade,mid spring-late spring,fox,ladybug
3,Purple Milkweed,Asclepias Purpurascens,purplemilkweed,Gentiana clausa-Schizachyrium scoparium-Veronicastrum virginicum-Liatris spicata,full sun,early summer-mid summer,rabit-fox,butterfly-ladybug
4,MoonBeam Whorled Tickseed,Coreopsis Veticillata,moonbeam,Stokesia laevis-Echinacea purpurea-Bigelowia nuttallii-Eurybia divaricata,filtered shade-full sun,late summer-mid summer,rabit-fox,butterfly-ladybug
5,Butterfly Weed,Asclepias Tuberosa,butterflyweed,Andropogon virginicus-Schizachyrium scoparium-Echinacea purpurea-Coreopsis verticillata-Solidago odora,full sun,early summer-mid summer,rabit-fox,butterfly-ladybug
6,Boxl Elder,Acer negudo,boxelder,,,,,
7,Yellowroot,Xanthorhiza simplicssima,yellowroot,kalmia latifolia-rhododendron maximum-cornus florida-clethra alnifolia,filtered shade-full sun-partial shade,early spring-mid spring,,
8,Dusty Zenobia,Zenobia pulverulenta,dustyzenobia,rhododendron atlanticum-dicentra eximia-heuchera villosa,filtered shade-full sun,late spring-mid spring,,
9,Twisted Trillium,Trillium stamineum,twistedtrillium,thalictrum thalictroides-dodecatheon meadia-cares plantaginea-trillium decumbens-adiantum capillus veneris,filtered shade-partial shade,mid spring,,bumble bee-ladybug
10,Southern Red Trillium,Trillium sulcatum,southernredtrillium,prosartes lanuginosa-polystichum acrostichoides-stylophorum diphyluum-pholox divaricata-caulophyllum thatlictroides-mertensia virginica-hydrophyllum virginianum,partial shade-shade,mid spring,fox-deer,
11,Large-Flowered Bellort,Uvularia grandiflora,largefloweredbellort,trillium cuneatum-mertensia virginica-stylophorum diphyllum-asarum canadense-trillum luteum-polemonium reptans,filtered shade-partial shade,early spring-mid spring,fox,bumble bee
12,Stemless Ironweed,Vernonia acaulis,stemlessironweed,solidago caesia-pityopsis graminifolia-symphyotrichum oblongifolium-rudbeckia hirta,filtered shade-full sun,early fall-late summer-mid summer,rabbit-deer,beetle-butterfly
13,Tall Ironweed,Vernonia angustrifolia,tallironweed,schizachyrium scoparium-andropogon virginicus-sporobolus heterolepis-helianthus angustifolius-rudbeckia fulgida-liatris pilosa,filtered shade-full sun,early fall,fox-rabbit-squirrel,ant-beetle
14,New York Ironweed,Vernonia noveboracensis,newyorkironweed,andropogon virginicus-helianthus angustifolius-conoclinium coelestinum-symphyotrichum novae angliae-liatris spicata-helianthus microcephalus,filtered shade-full sun,early fall-late summer,deer ,bumble bee
15,Culver's Root,Veronicastrum virginicum,culversroot,andropogon virginicus-rudbeckia maxima-vernonia noveboracensis-echinacea purpurea,full sun,early summer-mid summer,,
16,Lowbush Blueberry,Vaccinium angustifolium,lowbushblueberry,epigea repens-kalmia latifolia-gaultheria procumbens-polystichum acrostichoides-dryopteris intermedia,filtered shade-full sun-partial shade,mid spring,deer,
17,Maple-Leaved Viburnum,Viburnum acerifolium,mapleleavedviburnum,,,,,
18,Arrowwood,Viburnum detatum,arrowwood,,,,,
19,Black Haw,Viburnum prunifolium,blackhaw,,,,,
20,Rusty Black Haw,Viburnum rufidulum,rustyblackhaw,,,,,
21,Lance-Leaf Trillium,Trillium lancifolium,lanceleaftrillium,,,,,
22,Yellow Trillium,Trillium liteum,yellowtrillium,,,,,
23,Pink Pearl Rue Anemone,Thalictrum thalictroides,pinkpearlrueanemone,,,,,
24,Georgia Aster,Symphyotrichum georgianum,georgiaaster,,,,,
25,Yellow Indian Grass,Sorghastrum nutans,yellowindiangrass,,,,,
26,Common Sassafras,Sassafras albidum,commonsassafras,,,,,
27,White Oak,Quercus alba,whiteoak,,,,,
28,Scarlet Oak,Quercus coccinea,scarletoak,,,,,
29,Sourwood,Oxydendrum arboreum,sourwood,,,,,
30,Common Fern,Osmundastrum cinnamomeum,commonfern,,,,,
31,Sweet Gum,Liquidambar styraciflua,sweetgum,,,,,
32,False Solomon's Seal,Maianthemum racemosum,falsesolomon'sseal,,,,,
33,Grass-Leaf Blazing Star,Liatris pilosa,grassleafblazingstar,,,,,
34,American Holly,Ilex opaca,americanholly,,,,,
35,Florida Anise Tree,Illicuim floridanum,floridaanisetree,,,,,
36,Wild Hydrangea,Hydrangea arborescens,wildhydrangea,,,,,
37,Lobed Barren Strawberry,Geum lobatum,lobedbarrenstrawberry,,,,,
38,Wintergreen,Gaultheria procumbens,wintergreen,,,,,
39,Georgia Wild Basil,Clinopodium georgianum,georgiawildbasil,,,,,
40,Autumn Gold Flowering Dogwood,Cornus florida,autumngoldfloweringdogwood,,,,,
